Run,Agent,Iteration,Net Utility
0,DM (policy) 1,0,-2441.7438294720087
0,DM (policy) 1,1,-375.5982713290168
0,DM (policy) 1,2,530.23149817149
1,DM (policy) 1,0,-2026.241709942901
1,DM (policy) 1,1,133.68331438033232
1,DM (policy) 1,2,462.658473167156
0,DM (policy) 2,0,-3091.823698823639
0,DM (policy) 2,1,-70.43339012305317
0,DM (policy) 2,2,311.6024455840182
1,DM (policy) 2,0,-3630.6993758536214
1,DM (policy) 2,1,-1005.647389297246
1,DM (policy) 2,2,-1047.912313494585
0,DM (policy) 3,0,-5531.322592251072
0,DM (policy) 3,1,-2128.865811829685
0,DM (policy) 3,2,428.20120844095266
1,DM (policy) 3,0,-5295.648964002984
1,DM (policy) 3,1,-313.54003769336555
1,DM (policy) 3,2,471.8739661180972
